party_short;party_long;votes;percentage;year;colour
AAK-PSD;;164897;22,65;2019;#fb9a99
LDK;;148684;20,42;2019;#a6cee3
PDK;;135577;18,62;2019;#1f78b4
LVV;;123258;16,93;2019;#e31a1c
MINORITETET;;81807;11,24;2019;#fdbf6f
NISMA-AKR-PD;;51222;7,04;2019;#33a02c
ALTERNATIVA;;11676;1,60;2019;#b2df8a
PAN;"12 Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës";245627;33,74;2017;#1f78b4
LVV;35 Lëvizja VETËVENDOSJE!;200135;27,49;2017;#e31a1c
LDK-AKR;16 LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE;185884;25,53;2017;#a6cee3
MINORITETET;22 GRAĐANSKA INICIJATIVA SRPSKA LISTA;81807;11,24;2017;#fdbf6f
