year;country;house;party_long;party_short;seats;government;colour
2017;Kosovo;Parlament;Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës;PAN;39;1;#3333FF
2017;Kosovo;Parlament;LËVIZJA VETËVENDOSJE!;LVV;32;0;#E81B23
2017;Kosovo;Parlament;LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE;LDK-AKR;29;0;
2017;Kosovo;Parlament;GRAĐANSKA INICIJATIVA SRPSKA LISTA;SRPSKA LISTA;9;0;
2017;Kosovo;Parlament;KOSOVA DEMOKRATİK TÜRK PARTİSİ;KDTP;2;0;
2017;Kosovo;Parlament;KOALICIJA VAKAT;KV;2;0;
2017;Kosovo;Parlament;JEDINSTVENA GORANSKA PARTIJA;JGP;1;0;
2017;Kosovo;Parlament;PARTIA E ASHKALINJËVE PËR INTEGRIM;PAI;1;0;
2017;Kosovo;Parlament;PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS;PDAK;1;0;
2017;Kosovo;Parlament;SAMOSTALNA LIBERALNA STRANKA;SLS;1;0;
2017;Kosovo;Parlament;PARTIA LIBERALE EGJIPTIANE;PLE;1;0;
2017;Kosovo;Parlament;NOVA DEMOKRATSKA STRANKA;NDS;1;0;
2017;Kosovo;Parlament;PARTIA ROME E BASHKUAR E KOSOVËS;PRBK;1;0;
